source_id,target_id,label,category
n-001,n-087,,
n-087,n-089,,
n-087,n-090,,
n-087,n-091,,
n-090,n-042,,
n-091,n-084,,
n-089,n-085,,
n-085,n-030,,
n-085,n-061,,
n-085,n-022,,
n-085,n-019,,
n-022,n-027,,
n-022,n-064,,
n-022,n-030,,
n-022,n-039,,
n-022,n-041,,
n-064,n-054,,
n-039,n-055,,
n-041,n-056,,
n-027,n-057,,
n-018,n-032,,
n-061,n-049,,
n-061,n-060,,
n-049,n-024,,
n-049,n-037,,
n-060,n-035,,
n-035,n-038,Yes,Logical
n-035,n-036,No,Logical
n-030,n-029,,
n-030,n-023,,
n-023,n-025,,
n-029,n-040,,
n-089,n-085,,
n-085,n-028,,
n-085,n-019,,
n-085,n-026,,
n-085,n-048,,
n-085,n-062,,
n-028,n-017,,
n-062,n-010,,
n-010,n-012,,
n-012,n-081,,
n-081,n-059,,
n-059,n-009,,
n-048,n-010,,
n-010,n-081,,
n-081,n-033,,
n-033,n-071,Yes,Logical
n-033,n-014,,
n-014,n-083,,
n-083,n-075,,
n-083,n-045,,
n-045,n-074,,
n-075,n-058,,
n-058,n-065,,
n-065,n-066,,
n-058,n-046,,
n-046,n-047,,
n-075,n-086,,
n-086,n-069,,
n-086,n-006,,
n-006,n-002,,
n-002,n-077,,
n-077,n-063,,
n-077,n-009,,
n-063,n-051,,
n-063,n-052,,
n-063,n-053,,
n-026,n-010,,
n-010,n-078,,
n-078,n-073,,
n-078,n-015,,
n-015,n-088,,
n-088,n-092,,
n-092,n-071,Yes,Logical
n-092,n-013,,
n-013,n-079,,
n-079,n-093,,
n-079,n-058,,
n-093,n-069,,
n-093,n-006,,
n-058,n-094,,
n-094,n-095,,
n-058,n-096,,
n-096,n-097,,
n-006,n-077,,
n-077,n-003,,
n-077,n-098,,
n-003,n-009,,
n-098,n-051,,
n-098,n-052,,
n-098,n-053,,
n-019,n-010,,
n-010,n-082,,
n-082,n-020,,
n-082,n-021,,
n-021,n-072,,
n-020,n-011,,
n-021,n-011,,
n-011,n-088,,
n-088,n-034,,
n-034,n-071,Yes,Logical
n-034,n-070,No,Logical
n-034,n-016,,
n-016,n-008,,
n-008,n-080,,
n-080,n-076,,
n-080,n-005,,
n-005,n-077,,
n-077,n-063,,
n-077,n-004,,
n-063,n-051,,
n-063,n-052,,
n-063,n-053,,
n-004,n-086,,
n-086,n-069,,
n-086,n-007,,
n-007,n-009,,
